Local time,Open,High,Low,Close,Volume
08.05.2018 00:00:00.000 GMT+0100,1.35589,1.35713,1.35580,1.35679,1581.78
08.05.2018 01:00:00.000 GMT+0100,1.35678,1.35765,1.35638,1.35760,3123.5801
08.05.2018 02:00:00.000 GMT+0100,1.35760,1.35774,1.35572,1.35634,2842.6799
08.05.2018 03:00:00.000 GMT+0100,1.35634,1.35656,1.35564,1.35631,2633.8899
08.05.2018 04:00:00.000 GMT+0100,1.35633,1.35661,1.35531,1.35545,3030.0701
08.05.2018 05:00:00.000 GMT+0100,1.35545,1.35545,1.35447,1.35483,2591.3501
08.05.2018 06:00:00.000 GMT+0100,1.35482,1.35634,1.35462,1.35629,1922.73
08.05.2018 07:00:00.000 GMT+0100,1.35629,1.35926,1.35585,1.35749,9439.1299
08.05.2018 08:00:00.000 GMT+0100,1.35747,1.35800,1.35257,1.35317,11805.2305
08.05.2018 09:00:00.000 GMT+0100,1.35319,1.35333,1.34954,1.35078,11280.3799
08.05.2018 10:00:00.000 GMT+0100,1.35086,1.35178,1.34993,1.35156,8477.4697
08.05.2018 11:00:00.000 GMT+0100,1.35155,1.35288,1.35090,1.35160,7299.0098
08.05.2018 12:00:00.000 GMT+0100,1.35158,1.35179,1.34967,1.35065,7776.0498
08.05.2018 13:00:00.000 GMT+0100,1.35065,1.35091,1.34929,1.34987,8116.9302
08.05.2018 14:00:00.000 GMT+0100,1.34987,1.35070,1.34902,1.35018,8676.3301
08.05.2018 15:00:00.000 GMT+0100,1.35018,1.35218,1.34843,1.35165,10749.4199
08.05.2018 16:00:00.000 GMT+0100,1.35165,1.35248,1.34938,1.35195,13002.0098
08.05.2018 17:00:00.000 GMT+0100,1.35195,1.35606,1.35188,1.35453,9938.2998
08.05.2018 18:00:00.000 GMT+0100,1.35453,1.35518,1.35373,1.35376,7132.0601
08.05.2018 19:00:00.000 GMT+0100,1.35375,1.35553,1.35321,1.35364,12357.4902
08.05.2018 20:00:00.000 GMT+0100,1.35362,1.35489,1.35354,1.35483,4067.3601
08.05.2018 21:00:00.000 GMT+0100,1.35486,1.35522,1.35451,1.35460,2744.8
08.05.2018 22:00:00.000 GMT+0100,1.35461,1.35503,1.35361,1.35462,1990.02
08.05.2018 23:00:00.000 GMT+0100,1.35462,1.35491,1.35449,1.35455,892.6
09.05.2018 00:00:00.000 GMT+0100,1.35456,1.35544,1.35455,1.35527,1297.85
09.05.2018 01:00:00.000 GMT+0100,1.35527,1.35573,1.35424,1.35428,3197.9299
09.05.2018 02:00:00.000 GMT+0100,1.35431,1.35446,1.35330,1.35358,4632.5898
09.05.2018 03:00:00.000 GMT+0100,1.35356,1.35437,1.35326,1.35335,2856.6499
09.05.2018 04:00:00.000 GMT+0100,1.35334,1.35359,1.35265,1.35271,3178.8899
09.05.2018 05:00:00.000 GMT+0100,1.35273,1.35349,1.35258,1.35342,1749.28
09.05.2018 06:00:00.000 GMT+0100,1.35341,1.35341,1.35248,1.35264,2128.1899
09.05.2018 07:00:00.000 GMT+0100,1.35260,1.35297,1.35000,1.35030,7983.8398
09.05.2018 08:00:00.000 GMT+0100,1.35035,1.35342,1.34990,1.35330,9841.3896
09.05.2018 09:00:00.000 GMT+0100,1.35332,1.35515,1.35226,1.35476,8926.6602
09.05.2018 10:00:00.000 GMT+0100,1.35476,1.35507,1.35258,1.35260,7823.0601
09.05.2018 11:00:00.000 GMT+0100,1.35259,1.35654,1.35207,1.35611,9263.8496
09.05.2018 12:00:00.000 GMT+0100,1.35611,1.36020,1.35602,1.35892,10264.1904
09.05.2018 13:00:00.000 GMT+0100,1.35890,1.36068,1.35798,1.35957,12261.8896
09.05.2018 14:00:00.000 GMT+0100,1.35958,1.35981,1.35739,1.35848,11538.8701
09.05.2018 15:00:00.000 GMT+0100,1.35849,1.35866,1.35690,1.35770,10477.8496
09.05.2018 16:00:00.000 GMT+0100,1.35770,1.35873,1.35655,1.35661,8322.3203
09.05.2018 17:00:00.000 GMT+0100,1.35661,1.35678,1.35507,1.35572,6247.4702
09.05.2018 18:00:00.000 GMT+0100,1.35572,1.35655,1.35517,1.35547,5254.2598
09.05.2018 19:00:00.000 GMT+0100,1.35545,1.35640,1.35529,1.35553,3360.25
09.05.2018 20:00:00.000 GMT+0100,1.35557,1.35566,1.35402,1.35472,4711.4702
09.05.2018 21:00:00.000 GMT+0100,1.35472,1.35509,1.35414,1.35447,2530.0901
09.05.2018 22:00:00.000 GMT+0100,1.35442,1.35507,1.35437,1.35466,2665.8101
09.05.2018 23:00:00.000 GMT+0100,1.35470,1.35500,1.35461,1.35487,1293.76
10.05.2018 00:00:00.000 GMT+0100,1.35486,1.35511,1.35425,1.35429,1299.99
10.05.2018 01:00:00.000 GMT+0100,1.35427,1.35520,1.35415,1.35468,2519.8501
10.05.2018 02:00:00.000 GMT+0100,1.35467,1.35600,1.35438,1.35582,3505.3
10.05.2018 03:00:00.000 GMT+0100,1.35586,1.35718,1.35566,1.35573,3069.1101
10.05.2018 04:00:00.000 GMT+0100,1.35573,1.35726,1.35573,1.35654,3070.4199
10.05.2018 05:00:00.000 GMT+0100,1.35654,1.35768,1.35636,1.35747,2184.1499
10.05.2018 06:00:00.000 GMT+0100,1.35746,1.35749,1.35595,1.35617,2946.0701
10.05.2018 07:00:00.000 GMT+0100,1.35617,1.35778,1.35555,1.35605,7423.7402
10.05.2018 08:00:00.000 GMT+0100,1.35604,1.35699,1.35358,1.35382,11820.8604
10.05.2018 09:00:00.000 GMT+0100,1.35382,1.35651,1.35225,1.35627,10705.1104
10.05.2018 10:00:00.000 GMT+0100,1.35627,1.35887,1.35603,1.35820,8955.8496
10.05.2018 11:00:00.000 GMT+0100,1.35819,1.36174,1.35801,1.35915,8036.8101
10.05.2018 12:00:00.000 GMT+0100,1.35913,1.35946,1.34899,1.35309,22080.75
10.05.2018 13:00:00.000 GMT+0100,1.35308,1.35570,1.35127,1.35292,19045.6191
10.05.2018 14:00:00.000 GMT+0100,1.35291,1.35509,1.34958,1.34993,16014.5
10.05.2018 15:00:00.000 GMT+0100,1.34991,1.35019,1.34598,1.34669,14596.8096
10.05.2018 16:00:00.000 GMT+0100,1.34673,1.35210,1.34644,1.34859,12238.1299
10.05.2018 17:00:00.000 GMT+0100,1.34865,1.35083,1.34823,1.34985,7868.5698
10.05.2018 18:00:00.000 GMT+0100,1.34985,1.35264,1.34870,1.35219,6635.6401
10.05.2018 19:00:00.000 GMT+0100,1.35219,1.35245,1.35128,1.35190,5405.2998
10.05.2018 20:00:00.000 GMT+0100,1.35191,1.35230,1.35142,1.35190,4204.7202
10.05.2018 21:00:00.000 GMT+0100,1.35190,1.35194,1.35140,1.35169,2866.5
10.05.2018 22:00:00.000 GMT+0100,1.35169,1.35194,1.35140,1.35161,1923.8101
10.05.2018 23:00:00.000 GMT+0100,1.35168,1.35193,1.35140,1.35183,1159.83
11.05.2018 00:00:00.000 GMT+0100,1.35183,1.35231,1.35170,1.35213,1413.8199
11.05.2018 01:00:00.000 GMT+0100,1.35212,1.35328,1.35165,1.35321,2301.6399
11.05.2018 02:00:00.000 GMT+0100,1.35321,1.35345,1.35246,1.35265,2564.1599
11.05.2018 03:00:00.000 GMT+0100,1.35264,1.35305,1.35217,1.35268,1973.61
11.05.2018 04:00:00.000 GMT+0100,1.35268,1.35308,1.35245,1.35285,2031.99
11.05.2018 05:00:00.000 GMT+0100,1.35285,1.35307,1.35266,1.35275,1017.29
11.05.2018 06:00:00.000 GMT+0100,1.35276,1.35307,1.35117,1.35158,2201.5701
11.05.2018 07:00:00.000 GMT+0100,1.35160,1.35210,1.35017,1.35109,8197.6201
11.05.2018 08:00:00.000 GMT+0100,1.35110,1.35307,1.35045,1.35276,9253.1699
11.05.2018 09:00:00.000 GMT+0100,1.35276,1.35417,1.35196,1.35296,8276.5596
11.05.2018 10:00:00.000 GMT+0100,1.35295,1.35538,1.35199,1.35469,7019.8599
11.05.2018 11:00:00.000 GMT+0100,1.35469,1.35820,1.35458,1.35727,7095.8701
11.05.2018 12:00:00.000 GMT+0100,1.35727,1.35804,1.35598,1.35670,6377.9902
11.05.2018 13:00:00.000 GMT+0100,1.35671,1.35957,1.35588,1.35816,9490.3701
11.05.2018 14:00:00.000 GMT+0100,1.35814,1.35861,1.35625,1.35657,10224.7197
11.05.2018 15:00:00.000 GMT+0100,1.35656,1.35700,1.35453,1.35524,11700.8604
11.05.2018 16:00:00.000 GMT+0100,1.35527,1.35591,1.35320,1.35589,8425.5195
11.05.2018 17:00:00.000 GMT+0100,1.35586,1.35693,1.35358,1.35518,7435.6201
11.05.2018 18:00:00.000 GMT+0100,1.35511,1.35532,1.35388,1.35500,4624.9102
11.05.2018 19:00:00.000 GMT+0100,1.35495,1.35495,1.35358,1.35468,4537.9502
11.05.2018 20:00:00.000 GMT+0100,1.35459,1.35490,1.35401,1.35419,4458.02
11.05.2018 21:00:00.000 GMT+0100,1.35418,1.35467,1.35377,1.35407,2766.24
11.05.2018 22:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
11.05.2018 23:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 00:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 01:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 02:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 03:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 04:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 05:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 06:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 07:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 08:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 09:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 10:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 11:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 12:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 13:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 14:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 15:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 16:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 17:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 18:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 19:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 20:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 21:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 22:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 23:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
13.05.2018 00:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
13.05.2018 01:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
13.05.2018 02:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
13.05.2018 03:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
13.05.2018 04:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
13.05.2018 05:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
13.05.2018 06:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
13.05.2018 07:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
13.05.2018 08:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
13.05.2018 09:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
13.05.2018 10:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
